t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\S-Parameter\S-0-0347 Velocity error(U/min )
-310;0;-1,4877;1,536;1,4877;
-309,5;0;-1,7738;1,552;1,7738;
-309;0;0;1,557;0;
-308,5;0;0,8011;1,539;-0,8011;
-308;0;0,8011;1,539;-0,8011;
-307,5;0;-0,4005;1,532;0,4005;
-307;0;1,0872;1,541;-1,0872;
-306,5;0;-0,4005;1,542;0,4005;
-306;0;0,6866;1,546;-0,6866;
-305,5;0;0;1,539;0;
-305;0;-0,1717;1,538;0,1717;
-304,5;0;-0,5722;1,537;0,5722;
-304;0;-0,2861;1,544;0,2861;
-303,5;0;-0,6294;1,551;0,6294;
-303;0;0,0572;1,547;-0,0572;
-302,5;0;-0,3433;1,546;0,3433;
-302;0;1,03;1,548;-1,03;
-301,5;0;1,7738;1,541;-1,7738;
-301;0;-0,6866;1,537;0,6866;
-300,5;0;-0,4578;1,546;0,4578;
-300;0;-1,7738;1,546;1,7738;
-299,5;0;-1,545;1,544;1,545;
-299;0;-0,9155;1,546;0,9155;
-298,5;0;0,8583;1,542;-0,8583;
-298;0;0,0572;1,538;-0,0572;
-297,5;0;0,9727;1,538;-0,9727;
-297;0;-1,8311;1,537;1,8311;
-296,5;0;-0,0572;1,539;0,0572;
-296;0;1,9455;1,54;-1,9455;
-295,5;0;0,8011;1,536;-0,8011;
-295;0;-0,4005;1,534;0,4005;
-294,5;0;-1,1444;1,542;1,1444;
-294;0;-1,03;1,55;1,03;
-293,5;0;-0,1144;1,55;0,1144;
-293;0;-0,3433;1,542;0,3433;
-292,5;0;0,1717;1,538;-0,1717;
-292;0;-1,3733;1,535;1,3733;
-291,5;0;-1,2016;1,545;1,2016;
-291;0;0,4005;1,555;-0,4005;
-290,5;0;-0,1144;1,542;0,1144;
-290;0;-0,0572;1,537;0,0572;
-289,5;0;-1,0872;1,542;1,0872;
-289;0;0,0572;1,549;-0,0572;
-288,5;0;-0,2861;1,548;0,2861;
-288;0;1,0872;1,543;-1,0872;
-287,5;0;1,545;1,532;-1,545;
-287;0;-0,2861;1,53;0,2861;
-286,5;0;-1,2589;1,537;1,2589;
-286;0;-0,2289;1,55;0,2289;
-285,5;0;-0,6866;1,556;0,6866;
-285;0;0,8011;1,546;-0,8011;
-284,5;0;0,8583;1,534;-0,8583;
-284;0;0,4005;1,527;-0,4005;
-283,5;0;-1,2589;1,545;1,2589;
