t (ms);Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0039 Flux-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0043 Torque-generating current, actual value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0044 Flux-generating current, actual value(A eff)
-406;0,044;0;0,012;-0,002;
-405,5;0,028;0;0,024;0,011;
-405;0,067;0;0,018;0,002;
-404,5;0,029;0;0,002;0,001;
-404;0,014;0;0,02;-0,007;
-403,5;0,046;0;0,077;-0,007;
-403;0,08;0;0,04;0,013;
-402,5;0,004;0;0,021;0,006;
-402;0,046;0;0,005;0,013;
-401,5;0,062;0;0,055;-0,002;
-401;0,051;0;0,009;-0,007;
-400,5;0,045;0;0,045;0,005;
-400;0,026;0;0,013;0,01;
-399,5;0,077;0;0,056;0,013;
-399;0,021;0;0,008;0,003;
-398,5;-0,002;0;0,046;0,008;
-398;0,054;0;0,045;0,002;
-397,5;0,051;0;0,038;0,001;
-397;-0,006;0;0,026;-0,001;
-396,5;0,029;0;0,057;-0,016;
-396;0,076;0;0,049;-0,006;
-395,5;0,007;0;0,033;0,008;
-395;0,037;0;0,027;-0,004;
-394,5;0,049;0;0,05;0;
-394;0,008;0;0,036;0,014;
-393,5;0,014;0;0,055;0,007;
-393;0,018;0;-0,002;0,011;
-392,5;0,037;0;0,062;0,006;
-392;0,024;0;0,06;0,009;
-391,5;0,057;0;0,041;0;
-391;0,013;0;0,069;-0,01;
-390,5;0,039;0;0,024;0,003;
-390;0,036;0;0,02;0,004;
-389,5;0,017;0;0,07;-0,012;
-389;0,046;0;0,072;-0,002;
-388,5;0,007;0;0,02;0,015;
-388;0,053;0;0,037;-0,003;
-387,5;0,034;0;0,057;-0,004;
-387;0,05;0;0,035;0;
-386,5;0,042;0;0,01;-0,001;
-386;0,049;0;0,014;0,009;
-385,5;0,041;0;0,031;-0,005;
-385;0,087;0;0,035;-0,005;
-384,5;0,032;0;0,005;0,013;
-384;0,039;0;0,054;-0,003;
-383,5;0,01;0;0,017;0,009;
-383;0,077;0;0,058;-0,007;
-382,5;0,038;0;0,042;0,003;
-382;0,027;0;0;0,003;
-381,5;0,025;0;0,058;-0,003;
-381;0,016;0;0,04;-0,004;
-380,5;0,076;0;0,096;-0,016;
-380;-0,004;0;0,002;0,004;
-379,5;0,04;0;0,057;-0,003;
-379;0,024;0;0,045;-0,009;
-378,5;0,032;0;0,03;-0,01;
-378;0,044;0;0,057;-0,012;
-377,5;0,007;0;0,017;0,001;
-377;0,062;0;0,06;-0,008;
-376,5;0,009;0;0,017;-0,003;
-376;0,064;0;0,037;0,015;
-375,5;0,029;0;0,052;0,012;
-375;0,038;0;0,042;0,001;
-374,5;0,047;0;0,005;-0,012;
-374;0,027;0;0,058;-0,004;
-373,5;0,036;0;0,015;-0,006;
-373;0,01;0;0,064;-0,02;
-372,5;0,033;0;0,036;0,002;
