t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\S-Parameter\S-0-0347 Velocity error(U/min )
-349;0;-0,1717;1,563;0,1717;
-348,5;0;-1,2016;1,565;1,2016;
-348;0;0;1,562;0;
-347,5;0;1,2016;1,561;-1,2016;
-347;0;-1,3733;1,544;1,3733;
-346,5;0;-0,515;1,558;0,515;
-346;0;-0,9155;1,567;0,9155;
-345,5;0;-0,3433;1,569;0,3433;
-345;0;-0,4578;1,564;0,4578;
-344,5;0;0,8583;1,546;-0,8583;
-344;0;-0,8583;1,549;0,8583;
-343,5;0;-1,3733;1,559;1,3733;
-343;0;0,3433;1,566;-0,3433;
-342,5;0;0,8011;1,564;-0,8011;
-342;0;0,9727;1,558;-0,9727;
-341,5;0;-0,5722;1,551;0,5722;
-341;0;0,0572;1,558;-0,0572;
-340,5;0;0,6294;1,562;-0,6294;
-340;0;0,2861;1,563;-0,2861;
-339,5;0;0,7439;1,559;-0,7439;
-339;0;-0,7439;1,557;0,7439;
-338,5;0;-0,2289;1,561;0,2289;
-338;0;-0,6294;1,558;0,6294;
-337,5;0;0,2289;1,564;-0,2289;
-337;0;0,2289;1,557;-0,2289;
-336,5;0;-0,2289;1,559;0,2289;
-336;0;-0,6294;1,556;0,6294;
-335,5;0;-1,2589;1,562;1,2589;
-335;0;-0,1717;1,56;0,1717;
-334,5;0;0,8011;1,548;-0,8011;
-334;0;0,9155;1,553;-0,9155;
-333,5;0;-1,1444;1,559;1,1444;
-333;0;-0,1144;1,568;0,1144;
-332,5;0;0,6866;1,557;-0,6866;
-332;0;0,9155;1,559;-0,9155;
-331,5;0;-1,1444;1,545;1,1444;
-331;0;-1,6022;1,558;1,6022;
-330,5;0;-0,8011;1,559;0,8011;
-330;0;1,3161;1,571;-1,3161;
-329,5;0;1,6022;1,552;-1,6022;
-329;0;0,2861;1,548;-0,2861;
-328,5;0;-2,7466;1,56;2,7466;
-328;0;-1,6022;1,577;1,6022;
-327,5;0;2,4033;1,584;-2,4033;
-327;0;2,346;1,563;-2,346;
-326,5;0;2,7466;1,549;-2,7466;
-326;0;-0,5722;1,555;0,5722;
-325,5;0;-1,6594;1,575;1,6594;
-325;0;-0,4005;1,573;0,4005;
-324,5;0;1,8883;1,56;-1,8883;
-324;0;0,8011;1,544;-0,8011;
-323,5;0;-1,545;1,553;1,545;
-323;0;-0,0572;1,558;0,0572;
-322,5;0;0,3433;1,559;-0,3433;
-322;0;0,0572;1,556;-0,0572;
-321,5;0;-0,6294;1,553;0,6294;
-321;0;-1,4305;1,559;1,4305;
-320,5;0;-1,6594;1,558;1,6594;
-320;0;0,3433;1,562;-0,3433;
-319,5;0;0,1717;1,556;-0,1717;
-319;0;0,1144;1,555;-0,1144;
-318,5;0;-0,4005;1,556;0,4005;
-318;0;-0,2289;1,57;0,2289;
-317,5;0;-0,7439;1,574;0,7439;
-317;0;-0,6294;1,56;0,6294;
-316,5;0;-0,6294;1,551;0,6294;
-316;0;-0,0572;1,559;0,0572;
-315,5;0;-0,515;1,562;0,515;
-315;0;-0,1717;1,562;0,1717;
-314,5;0;3,0327;1,561;-3,0327;
-314;0;0,2289;1,542;-0,2289;
-313,5;0;-2,2316;1,546;2,2316;
-313;0;-1,4877;1,569;1,4877;
-312,5;0;-0,0572;1,565;0,0572;
-312;0;1,6594;1,557;-1,6594;
-311,5;0;1,03;1,541;-1,03;
-311;0;-1,03;1,544;1,03;
-310,5;0;-2,2888;1,558;2,2888;
-310;0;-0,1144;1,579;0,1144;
-309,5;0;1,6594;1,572;-1,6594;
-309;0;0,5722;1,552;-0,5722;
-308,5;0;0,0572;1,552;-0,0572;
-308;0;0,1144;1,566;-0,1144;
-307,5;0;-0,4578;1,569;0,4578;
-307;0;0,3433;1,57;-0,3433;
-306,5;0;1,2016;1,565;-1,2016;
-306;0;0;1,554;0;
-305,5;0;-0,4578;1,559;0,4578;
-305;0;-1,3733;1,557;1,3733;
-304,5;0;0,0572;1,56;-0,0572;
-304;0;-1,03;1,549;1,03;
-303,5;0;-1,2016;1,556;1,2016;
-303;0;-0,3433;1,562;0,3433;
-302,5;0;0;1,555;0;
-302;0;1,2589;1,556;-1,2589;
-301,5;0;1,2016;1,55;-1,2016;
-301;0;-1,3161;1,551;1,3161;
-300,5;0;-0,8583;1,565;0,8583;
-300;0;-0,2289;1,575;0,2289;
-299,5;0;0,4005;1,563;-0,4005;
-299;0;0,9155;1,553;-0,9155;
-298,5;0;1,2589;1,558;-1,2589;
-298;0;-1,3161;1,563;1,3161;
-297,5;0;-1,4877;1,568;1,4877;
-297;0;-0,4578;1,571;0,4578;
-296,5;0;1,4305;1,56;-1,4305;
-296;0;0,2861;1,551;-0,2861;
-295,5;0;-1,3161;1,559;1,3161;
-295;0;-0,8011;1,57;0,8011;
-294,5;0;-1,3733;1,572;1,3733;
-294;0;0,8011;1,558;-0,8011;
-293,5;0;1,1444;1,551;-1,1444;
-293;0;0,1144;1,553;-0,1144;
-292,5;0;-0,2861;1,557;0,2861;
-292;0;0,5722;1,56;-0,5722;
-291,5;0;-1,2589;1,551;1,2589;
-291;0;-0,0572;1,553;0,0572;
-290,5;0;-1,3161;1,554;1,3161;
-290;0;0,4578;1,565;-0,4578;
-289,5;0;0,6866;1,562;-0,6866;
-289;0;-1,3733;1,555;1,3733;
-288,5;0;0,0572;1,563;-0,0572;
-288;0;-0,7439;1,567;0,7439;
-287,5;0;0,0572;1,571;-0,0572;
-287;0;0,5722;1,566;-0,5722;
-286,5;0;1,8311;1,56;-1,8311;
-286;0;2,1744;1,546;-2,1744;
